image_name,steering_angle,nav_command
yutsil_orange_28_06_2026_01_46_frame_1.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_2.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_3.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_4.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_5.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_6.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_7.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_8.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_9.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_10.jpeg,0.000000,1
yutsil_orange_28_06_2026_01_46_frame_11.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_12.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_13.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_14.jpeg,0.200000,2
yutsil_orange_28_06_2026_01_46_frame_15.jpeg,0.200000,2
yutsil_orange_28_06_2026_01_46_frame_16.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_17.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_18.jpeg,0.150000,2
yutsil_orange_28_06_2026_01_46_frame_19.jpeg,0.150000,2
yutsil_orange_28_06_2026_01_46_frame_20.jpeg,0.150000,2
yutsil_orange_28_06_2026_01_46_frame_21.jpeg,0.150000,2
yutsil_orange_28_06_2026_01_46_frame_22.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_23.jpeg,0.225000,2
yutsil_orange_28_06_2026_01_46_frame_24.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_25.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_26.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_27.jpeg,0.000000,2
yutsil_orange_28_06_2026_01_46_frame_28.jpeg,0.000000,2
